商店名稱,品項,菜名,價格,熱量,蛋白質(g),脂肪(g),碳水化合物(g)
八方雲集 亞洲大學店,鍋貼(十顆一份),招牌鍋貼,63,618,19.4,35.1,55.9
八方雲集 亞洲大學店,鍋貼(十顆一份),韭菜鍋貼,63,670,21.6,38.9,58.1
八方雲集 亞洲大學店,鍋貼(十顆一份),韓式辣味鍋貼,63,613,24.3,30,61.6
八方雲集 亞洲大學店,鍋貼(十顆一份),咖哩雞肉鍋貼,63,582.7,23,23.2,70.5
八方雲集 亞洲大學店,鍋貼(十顆一份),玉米鍋貼,63,572,22.4,24.8,65.1
八方雲集 亞洲大學店,水餃(十顆一份),招牌水餃,63,618,19.4,35.1,55.9
八方雲集 亞洲大學店,水餃(十顆一份),韭菜水餃,63,670,21.6,38.9,58.1
八方雲集 亞洲大學店,水餃(十顆一份),韓式辣味水餃,63,603.1,24.6,26.3,66.9
八方雲集 亞洲大學店,水餃(十顆一份),咖哩雞肉水餃,63,543.2,24.9,19,68
八方雲集 亞洲大學店,水餃(十顆一份),玉米水餃,63,590,21,24.9,70.6
八方雲集 亞洲大學店,水餃(十顆一份),鮮蝦水餃,100,564.5,23,24.6,62.7
八方雲集 亞洲大學店,湯餃,酸辣湯餃,85,657,21,36,58
八方雲集 亞洲大學店,湯餃,玉米湯餃,85,692,20,36,60
八方雲集 亞洲大學店,乾麵,招牌乾麵(粗),49,400,5,8.9,75
八方雲集 亞洲大學店,乾麵,古早味乾麵(細),39,306,3,6,60
八方雲集 亞洲大學店,乾麵,麻醬乾麵(細),49,460,4,17.3,72
八方雲集 亞洲大學店,乾麵,紹辣乾麵(粗),55,355,6,7.9,65
八方雲集 亞洲大學店,湯麵,古早味湯麵(細),39,350,3,10.9,60
八方雲集 亞洲大學店,湯麵,酸辣湯麵(細),64,407,6,7,80
八方雲集 亞洲大學店,湯麵,珍珠餛飩麵(細),65,361,15,5.4,63
八方雲集 亞洲大學店,湯麵,菜肉大餛飩麵(細),75,365,13,3.7,70
八方雲集 亞洲大學店,湯麵,紹辣珍珠餛飩麵(細),75,399,16,6.1,70
八方雲集 亞洲大學店,湯麵,紹辣菜肉大餛飩麵(細),85,403,15,7,70
八方雲集 亞洲大學店,湯麵,榨菜肉絲麵(粗),75,423,15,8.3,72
八方雲集 亞洲大學店,抄手,珍珠和風抄手,55,425,17,10.8,65
八方雲集 亞洲大學店,抄手,菜肉和風大抄手,69,304,11,3.1,58
八方雲集 亞洲大學店,抄手,珍珠紅油抄手,55,362,12,6,65
八方雲集 亞洲大學店,抄手,菜肉紅油大抄手,69,304,10,2.7,60
八方雲集 亞洲大學店,小菜,滷蛋,15,135,7,11,2
八方雲集 亞洲大學店,小菜,柚香蘿蔔,40,122,5,12,53
八方雲集 亞洲大學店,小菜,黃金泡菜,30,82,3,4.2,8
八方雲集 亞洲大學店,小菜,台式泡菜,30,79,3,3.9,8
八方雲集 亞洲大學店,小菜,韓式泡菜,30,47,2,2.1,5
八方雲集 亞洲大學店,湯品,酸辣湯,35,109,5,1.9,18
八方雲集 亞洲大學店,湯品,玉米濃湯,35,150,2,1.1,33
八方雲集 亞洲大學店,湯品,旗魚花枝丸湯,35,100,17,2.2,3
八方雲集 亞洲大學店,湯品,珍珠餛飩湯,45,380,20,8.9,55
八方雲集 亞洲大學店,湯品,菜肉大餛飩湯,55,250,16,5.1,35
八方雲集 亞洲大學店,飲品,白豆漿,20,193.8,11.6,5.4,24.5
八方雲集 亞洲大學店,飲品,黑豆漿,20,176.8,12.2,4.4,21.8
八方雲集 亞洲大學店,飲品,無糖豆漿,20,139.4,14.3,6.1,6.8
八方雲集 亞洲大學店,飲品,寒天香醇豆漿,45,0,0,0,0
食在好味自助餐,便當,開會便當,100,580.5,32.5,24.5,57.5
食在好味自助餐,便當,低GI水煮豚肉便當,80,500,26.5,16,62.5
食在好味自助餐,便當,低GI水煮嫩胸便當,95,488,26,16,60
食在好味自助餐,便當,烤大雞腿便當,90,510.5,26,18.5,60
食在好味自助餐,便當,里肌豬排便當,80,513.5,26.5,17.5,62.5
美而美早餐 亞大店,吐司類,火腿蛋吐司,35,270,13,9,35
美而美早餐 亞大店,吐司類,起司蛋吐司,35,328,13,13,40
美而美早餐 亞大店,吐司類,肉鬆蛋吐司,35,364,18,15,39
美而美早餐 亞大店,吐司類,培根蛋吐司,40,317,14,14,34
美而美早餐 亞大店,吐司類,鮪魚蛋吐司,40,338,19,14,34
美而美早餐 亞大店,吐司類,香雞排蛋吐司,40,411,17,21,40
美而美早餐 亞大店,吐司類,里肌豬排蛋吐司,50,325,16,14,34
美而美早餐 亞大店,吐司類,檸檬雞蛋吐司,55,349,20,15,34
美而美早餐 亞大店,吐司類,卡拉雞腿蛋吐司,65,488,22,24,47
美而美早餐 亞大店,吐司類,薄片吐司,20,200,35,6,4
美而美早餐 亞大店,吐司類,水果蔬菜總匯,65,300,50,6,8
美而美早餐 亞大店,吐司類,厚片吐司,25,250,40,8,6
美而美早餐 亞大店,吐司類,總匯三明治,65,299,14,10,38
美而美早餐 亞大店,吐司類,蛋吐司,25,250,35,10,7
美而美早餐 亞大店,吐司類,隱藏版 巧克力檸檬雞吐司,45,400,45,15,15
美而美早餐 亞大店,吐司類,隱藏版 草莓豬肉蛋吐司,45,420,45,18,16
美而美早餐 亞大店,吐司類,隱藏版 花生卡拉雞蛋吐司,70,450,40,20,20
美而美早餐 亞大店,吐司類,菲力雞蛋吐司,65,450,40,22,18
美而美早餐 亞大店,吐司類,日式豬排蛋吐司,65,460,42,20,20
美而美早餐 亞大店,吐司類,蔬菜蛋吐司,40,347,15,13,43
美而美早餐 亞大店,吐司類,魚排蛋吐司,65,380,17,22,32
美而美早餐 亞大店,吐司類,豬肉蛋吐司,40,370,17,22,32
美而美早餐 亞大店,吐司類,薯餅蛋吐司,40,370,20,18,33
美而美早餐 亞大店,吐司類,蔬菜蛋吐司,40,330,10,18,38
美而美早餐 亞大店,潛艇堡,德式香腸潛艇堡,60,480,22,28,40
美而美早餐 亞大店,潛艇堡,鮪魚起司潛艇堡,60,430,24,22,38
美而美早餐 亞大店,潛艇堡,培根火腿起司潛艇堡,60,490,27,29,34
美而美早餐 亞大店,潛艇堡,檸檬雞潛艇堡,60,420,26,23,35
美而美早餐 亞大店,蛋餅類,原味蛋餅,25,220,8,9,28
美而美早餐 亞大店,蛋餅類,火腿蛋餅,35,270,11,11,28
美而美早餐 亞大店,蛋餅類,肉鬆蛋餅,35,260,10,11,28
美而美早餐 亞大店,蛋餅類,玉米蛋餅,35,240,9,9,32
美而美早餐 亞大店,蛋餅類,起司蛋餅,35,270,11,11,28
美而美早餐 亞大店,蛋餅類,培根蛋餅,40,310,13,13,28
美而美早餐 亞大店,蛋餅類,鮪魚蛋餅,40,300,15,11,28
美而美早餐 亞大店,蛋餅類,薯餅蛋餅,40,330,10,18,34
美而美早餐 亞大店,蛋餅類,熱狗蛋餅,35,340,13,16,30
美而美早餐 亞大店,蛋餅類,里肌豬排蛋餅,50,420,18,22,32
美而美早餐 亞大店,蔥抓餅,蔥抓餅加蛋,40,320,9,16,34
美而美早餐 亞大店,蔥抓餅,原味蔥抓餅,35,280,5,12,34
美而美早餐 亞大店,蔥抓餅,起司蛋蔥抓餅,50,385,13,20,34
美而美早餐 亞大店,蔥抓餅,培根蛋蔥抓餅,50,380,14,22,34
美而美早餐 亞大店,蔥抓餅,豬排蛋蔥抓餅,55,480,20,28,34
美而美早餐 亞大店,蔥抓餅,火腿蛋蔥抓餅,50,390,13,20,34
美而美早餐 亞大店,墨西哥生菜捲,檸檬雞生菜捲,60,230,20,8,18
美而美早餐 亞大店,墨西哥生菜捲,德式香腸生菜捲,60,280,15,16,18
美而美早餐 亞大店,墨西哥生菜捲,培根火腿起司生菜捲,60,332,18,22,18
美而美早餐 亞大店,飲料類,豆漿,20,130,8,4,12
美而美早餐 亞大店,飲料類,奶茶,25,180,4,6,28
美而美早餐 亞大店,飲料類,綠茶,20,40,0,0,10
美而美早餐 亞大店,飲料類,紅茶,20,40,0,0,10
美而美早餐 亞大店,飲料類,綠奶茶,25,180,4,6,28
美而美早餐 亞大店,飲料類,柳橙風味飲品,30,120,1,0,30
美而美早餐 亞大店,飲料類,鮮奶茶,35,150,5,6,20
